rank,gid,role,priority_score,why
1,100000003115284100,coordinator,1.0,"Кандидат в координирующий узел: 8 плательщиков → 2 получателей; сигналы S3 Главные факторы: seed_flow_kzt: 0.8 млн, n_seed_upstream: 4, role: coordinator"
2,100000008165763100,consolidator,0.9680063714196318,"Признаки консолидации: 15 плательщиков, деньги от 3 seed за ≤2 колена, seed-поток 189 тыс., дальше ушло 109% Главные факторы: seed_flow_kzt: 0.2 млн, n_seed_upstream: 3, role: consolidator"
3,100000005074393100,coordinator,0.9599283215291404,"Кандидат в координирующий узел: 4 плательщиков → 6 получателей; сигналы S3 Главные факторы: seed_flow_kzt: 0.2 млн, role: coordinator, n_seed_upstream: 2"
4,100000005287097100,coordinator,0.9598941889239696,"Кандидат в координирующий узел: 2 плательщиков → 9 получателей; сигналы S3 Главные факторы: seed_flow_kzt: 0.1 млн, role: coordinator, n_seed_upstream: 2"
5,100000004156082100,coordinator,0.9585687060898257,"Кандидат в координирующий узел: 5 плательщиков → 26 получателей; сигналы S2 Главные факторы: seed_flow_kzt: 0.1 млн, n_seed_upstream: 3, role: coordinator"
6,100000004015047100,consolidator,0.956111158517507,"Признаки консолидации: 9 плательщиков, деньги от 4 seed за ≤2 колена, seed-поток 585 тыс., дальше ушло 8% Главные факторы: seed_flow_kzt: 0.6 млн, n_seed_upstream: 4, role: consolidator"
7,100000004403675100,coordinator,0.9533350399635917,"Кандидат в координирующий узел: 4 плательщиков → 5 получателей; сигналы S3 Главные факторы: seed_flow_kzt: 0.1 млн, role: coordinator, n_seed_upstream: 2"
8,100000006889963100,consolidator,0.9528628722587251,"Признаки консолидации: 4 плательщиков, деньги от 4 seed за ≤2 колена, seed-поток 533 тыс., дальше ушло 31% Главные факторы: seed_flow_kzt: 0.5 млн, n_seed_upstream: 4, role: consolidator"
9,100000000331309100,coordinator,0.9516966749153795,"Кандидат в координирующий узел: 5 плательщиков → 99 получателей; сигналы S2 Главные факторы: seed_flow_kzt: 0.0 млн, n_seed_upstream: 3, role: coordinator"
10,100000007908818100,coordinator,0.9497454276530989,"Кандидат в координирующий узел: 4 плательщиков → 6 получателей; сигналы S3 Главные факторы: seed_flow_kzt: 0.4 млн, n_seed_upstream: 4, role: coordinator"
11,100000001530983100,coordinator,0.9443069658958385,"Кандидат в координирующий узел: 4 плательщиков → 11 получателей; сигналы S3 Главные факторы: seed_flow_kzt: 0.4 млн, role: coordinator, n_seed_upstream: 2"
12,100000006518161100,transit,0.9433910743237476,"Признаки транзита: получено 594 тыс., отдано 100%, медиана задержки 1 дн., 3→2 контрагента Главные факторы: seed_flow_kzt: 0.5 млн, n_seed_upstream: 2, role: transit"
13,100000004188160100,coordinator,0.9385613106920384,"Кандидат в координирующий узел: 2 плательщиков → 5 получателей; сигналы S3 Главные факторы: seed_flow_kzt: 0.1 млн, role: coordinator, n_seed_upstream: 2"
14,100000008346837100,coordinator,0.9339647865289985,"Кандидат в координирующий узел: 9 плательщиков → 25 получателей; сигналы S2 Главные факторы: role: coordinator, n_seed_upstream: 2, seed_flow_kzt: 0.0 млн"
15,100000004299488100,coordinator,0.929419461273715,"Кандидат в координирующий узел: 6 плательщиков → 2 получателей; сигналы S3 Главные факторы: seed_flow_kzt: 0.4 млн, role: coordinator, n_seed_upstream: 1"
16,100000008477350100,coordinator,0.9290098700116619,"Кандидат в координирующий узел: 11 плательщиков → 39 получателей; сигналы S2, S3 Главные факторы: seed_flow_kzt: 0.0 млн, role: coordinator, n_seed_upstream: 2"
17,100000008686313100,coordinator,0.9258582928008645,"Кандидат в координирующий узел: 6 плательщиков → 7 получателей; сигналы S3 Главные факторы: seed_flow_kzt: 0.2 млн, role: coordinator, n_seed_upstream: 1"
18,100000000437046100,coordinator,0.9208976875159994,"Кандидат в координирующий узел: 9 плательщиков → 42 получателей; сигналы S2, S3 Главные факторы: seed_flow_kzt: 0.0 млн, role: coordinator, n_seed_upstream: 1"
19,100000008603629100,coordinator,0.9178485081207156,"Кандидат в координирующий узел: 19 плательщиков → 61 получателей; сигналы S2, S3 Главные факторы: seed_flow_kzt: 0.0 млн, role: coordinator, betweenness: 0.005654318551181927"
20,100000002838861100,coordinator,0.9169724379213242,"Кандидат в координирующий узел: 5 плательщиков → 1 получателей; сигналы S3 Главные факторы: seed_flow_kzt: 0.4 млн, role: coordinator, n_seed_upstream: 2"
21,100000004394765100,coordinator,0.9162158318400319,"Кандидат в координирующий узел: 3 плательщиков → 2 получателей; сигналы S1 Главные факторы: seed_flow_kzt: 0.5 млн, role: coordinator, n_seed_upstream: 2"
22,100000007055802100,coordinator,0.9139801462013254,"Кандидат в координирующий узел: 6 плательщиков → 1 получателей; сигналы S3 Главные факторы: seed_flow_kzt: 0.3 млн, role: coordinator, n_seed_upstream: 1"
23,100000003265158100,transit,0.9115282873965356,"Признаки транзита: получено 146 тыс., отдано 106%, медиана задержки 0 дн., 3→2 контрагента Главные факторы: seed_flow_kzt: 0.1 млн, n_seed_upstream: 2, role: transit"
24,100000004070318100,coordinator,0.9089512757061183,"Кандидат в координирующий узел: 4 плательщиков → 19 получателей; сигналы S1, S3 Главные факторы: seed_flow_kzt: 0.1 млн, role: coordinator, n_seed_upstream: 1"
25,100000003946524100,transit,0.9070398498165371,"Признаки транзита: получено 134 тыс., отдано 108%, 2→2 контрагента Главные факторы: seed_flow_kzt: 0.1 млн, n_seed_upstream: 2, role: transit"
26,100000002398779100,consolidator,0.9052251329749409,"Признаки консолидации: 13 плательщиков, деньги от 2 seed за ≤2 колена, seed-поток 30 тыс., дальше ушло 6% Главные факторы: seed_flow_kzt: 0.0 млн, role: consolidator, n_seed_upstream: 2"
27,100000005514161100,consolidator,0.904895184458287,"Признаки консолидации: 4 плательщиков, деньги от 4 seed за ≤2 колена, seed-поток 116 тыс., дальше ушло 12% Главные факторы: seed_flow_kzt: 0.1 млн, n_seed_upstream: 4, role: consolidator"
