rank,gid,role,priority_score,why
28,100000002781227100,transit,0.8978354239554001,"Признаки транзита: получено 191 тыс., отдано 111%, медиана задержки 0 дн., 2→3 контрагента Главные факторы: seed_flow_kzt: 0.2 млн, role: transit, n_seed_upstream: 1"
29,100000004351795100,coordinator,0.8962823904201154,"Кандидат в координирующий узел: 3 плательщиков → 14 получателей; сигналы S3 Главные факторы: seed_flow_kzt: 0.1 млн, role: coordinator, n_seed_upstream: 1"
30,100000004071080100,coordinator,0.8881474528543389,"Кандидат в координирующий узел: 9 плательщиков → 2 получателей; сигналы S3 Главные факторы: seed_flow_kzt: 0.1 млн, role: coordinator, n_seed_upstream: 1"
31,100000000661912100,coordinator,0.88760701993913,"Кандидат в координирующий узел: 5 плательщиков → 2 получателей; сигналы S3 Главные факторы: seed_flow_kzt: 0.0 млн, role: coordinator, n_seed_upstream: 1"
32,100000004390333100,coordinator,0.882071849133885,"Кандидат в координирующий узел: 2 плательщиков → 9 получателей; сигналы S3 Главные факторы: seed_flow_kzt: 0.0 млн, role: coordinator, n_seed_upstream: 1"
33,100000004759121100,coordinator,0.8803993514805016,"Кандидат в координирующий узел: 6 плательщиков → 2 получателей; сигналы S3 Главные факторы: seed_flow_kzt: 0.1 млн, role: coordinator, n_seed_upstream: 1"
34,100000001697501100,coordinator,0.8795460363512244,"Кандидат в координирующий узел: 3 плательщиков → 38 получателей; сигналы S3 Главные факторы: seed_flow_kzt: 0.0 млн, role: coordinator, n_seed_upstream: 1"
35,100000006069103100,transit,0.8786301447791335,"Признаки транзита: получено 229 тыс., отдано 118%, медиана задержки 0 дн., 3→3 контрагента Главные факторы: seed_flow_kzt: 0.1 млн, role: transit, n_seed_upstream: 1"
36,100000004400305100,coordinator,0.8733964786528997,"Кандидат в координирующий узел: 7 плательщиков → 82 получателей; сигналы S2 Главные факторы: role: coordinator, n_seed_upstream: 2, seed_flow_kzt: 0.0 млн"
37,100000004135268100,transit,0.8724692095457517,"Признаки транзита: получено 1.24 млн, отдано 81%, медиана задержки 0 дн., 2→3 контрагента Главные факторы: seed_flow_kzt: 1.2 млн, role: transit, n_seed_upstream: 1"
38,100000004847758100,coordinator,0.8717979349773871,"Кандидат в координирующий узел: 4 плательщиков → 15 получателей; сигналы S3 Главные факторы: role: coordinator, seed_flow_kzt: 0.0 млн, n_seed_upstream: 1"
39,100000008304139100,coordinator,0.8713712774127483,"Кандидат в координирующий узел: 4 плательщиков → 24 получателей; сигналы S1, S3 Главные факторы: role: coordinator, seed_flow_kzt: 0.0 млн, n_seed_upstream: 1"
40,100000008723830100,transit,0.870671559006741,"Признаки транзита: получено 460 тыс., отдано 99%, медиана задержки 1 дн., 2→1 контрагента Главные факторы: seed_flow_kzt: 0.5 млн, role: transit, n_seed_upstream: 1"
41,100000008748408100,distributor,0.8706146713314559,"Веерная рассылка: 21 получателей, отдано 1.50 млн Главные факторы: seed_flow_kzt: 0.4 млн, role: distributor, n_seed_upstream: 1"
42,100000008137435100,coordinator,0.8648974599652983,"Кандидат в координирующий узел: 2 плательщиков → 6 получателей; сигналы S3 Главные факторы: seed_flow_kzt: 0.0 млн, role: coordinator, n_seed_upstream: 1"
43,100000003404627100,consolidator,0.8608641237875813,"Признаки консолидации: 4 плательщиков, деньги от 4 seed за ≤2 колена, seed-поток 614 тыс., дальше ушло 0% Главные факторы: seed_flow_kzt: 0.6 млн, n_seed_upstream: 4, role: consolidator"
44,100000002894076100,consolidator,0.8606365730864407,"Признаки консолидации: 4 плательщиков, деньги от 3 seed за ≤2 колена, seed-поток 822 тыс., дальше ушло 0% Главные факторы: seed_flow_kzt: 0.8 млн, n_seed_upstream: 3, role: consolidator"
45,100000008547948100,coordinator,0.8567852774696362,"Кандидат в координирующий узел: 6 плательщиков → 26 получателей; сигналы S2 Главные факторы: role: coordinator, seed_flow_kzt: 0.0 млн, n_seed_upstream: 1"
46,100000007639767100,coordinator,0.8541343118013482,"Кандидат в координирующий узел: 4 плательщиков → 10 получателей; сигналы S1, S3 Главные факторы: role: coordinator, seed_flow_kzt: 0.0 млн, n_seed_upstream: 1"
47,100000004820260100,transit,0.8540489802884204,"Признаки транзита: получено 234 тыс., отдано 92%, медиана задержки 2 дн., 1→3 контрагента Главные факторы: seed_flow_kzt: 0.0 млн, role: transit, n_seed_upstream: 1"
48,100000001857829100,coordinator,0.8516028102511589,"Кандидат в координирующий узел: 6 плательщиков → 16 получателей; сигналы S3 Главные факторы: role: coordinator, seed_flow_kzt: 0.0 млн, n_seed_upstream: 1"
49,100000002293421100,transit,0.8480757743834798,"Признаки транзита: получено 41 тыс., отдано 115%, медиана задержки 0 дн., 2→2 контрагента Главные факторы: seed_flow_kzt: 0.0 млн, role: transit, n_seed_upstream: 1"
50,100000008111003100,consolidator,0.8455101402281197,"Признаки консолидации: 6 плательщиков, деньги от 1 seed за ≤2 колена, seed-поток 16 тыс., дальше ушло 16% Главные факторы: role: consolidator, seed_flow_kzt: 0.0 млн, n_seed_upstream: 1"
